crew_E2,crew_E3,crew_E4,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_2,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_3,day_30,day_31,day_4,day_5,day_6,day_7,day_8,day_9,distance,distance_down,distance_down_level,distance_up,distance_up_level,lift_down,lift_down_level,lift_up,lift_up_level,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,pay_original,shift_B,travel_time,year_2023,year_2024,total_des,efectivo_des,mantencion_des,mecanica_des,electrica_des,mant_excl_des,mec_excl_des,elec_excl_des,som_excl_des,demora_des,r_prog_des,r_noprg_des,waiting_des,queued_des,payload_des,expected_time_des,CAT 797-F_des,CAT 798-AC_des,KOM-CHQ_des,KOM.960E5_des,Kom.930E-4_des,Kom.930E-4SE_des,Kom.930EN_des,Kom.930ER_des,Kom.930ER-MT_des,Kom.980E5_des,Komatsu AHS_des
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.12584879601062163,-1.8382552728329524,2.028547245548656,-1.8790507592532268,1.7311059737298276,-0.03296154821606888,-2.2074715316575855,0.07461606898439255,2.836437660895046,False,False,False,False,False,False,False,False,False,False,False,134593.45004844666,False,-0.993090437504659,False,False,-2.7474137984842932,-0.8515948830914942,-0.7291596499234521,0.525381637702361,0.08342324734282705,-1.5644548344586633,-1.1017562001473995,0.41155250088789747,1.3727243841492867,0.6191593724263463,-0.5059843546399707,-0.6148796461530862,0.5618161802229832,-1.7906772789145482,0.17745953350629062,-0.986387719072389,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.6070622795758094,2.2776913366800446,-1.5674424548340122,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-1.1766763101427453,-2.39279857336885,0.6824429474564443,-2.336842798023843,1.4785296496127638,0.44101292805710796,-0.7642094232714809,-0.4476314272433661,1.2148238789760648,False,False,False,False,False,False,False,False,False,False,False,179265.94787216187,True,0.6044193653978852,False,False,-2.839535581141697,-1.0073416165790752,-0.8119249074254088,-0.32390360846945354,-0.1809418681728462,-1.3905483962336393,0.2039808431166406,-0.6573575319580678,0.8468738668163982,0.8300548322659049,0.40973893456140403,-0.40178292762674817,0.1905303239566629,-1.7062191386219263,-1.0225363947724297,-2.0093484500116063,-3.276360005505742,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.4334655658397276,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.2471268485681253,-2.316050471031621,0.76945120469562,-2.15801695231079,1.1791978459849546,1.0742352651020937,-0.6469388191165717,-0.9457459296777637,0.8389689637918067,False,False,False,False,False,False,False,False,False,False,False,176893.53397750854,False,-1.1713297822794253,False,False,-2.609231124498187,-0.993348851839003,-0.40719370315759845,-0.24186568642988338,-0.6415231839965408,-0.2176098806177713,0.5004958047939093,0.5070287840916855,0.5377657084247763,0.4439592852468454,-0.535579352367643,-0.31074436010953277,-0.09255425566763777,-1.3975783436473423,-0.38957016003081046,-0.9091037394725026,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.690142716724503,-2.183717908917323,0.42852272594242585,-2.2127930281485826,0.7811540331474436,-0.1580057108004828,-0.34837119564729585,-0.08212356484248848,0.09323456927677665,False,False,False,False,False,False,False,False,False,False,False,184370.81790590286,True,-1.9872150341597825,False,False,-2.6552920158268893,-0.9896799510918965,-1.0396687257022392,0.22943635149419894,1.8229901523806573,0.7800957672989638,-0.2628524179131546,-0.6573575319580678,0.03747839379094162,0.5489907034463607,-0.5783621152258546,-0.2792034390799464,0.4896906242088862,-0.6432681599964796,1.851934343318154,-1.7915861381321132,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.8760243250091639,-1.711659792357898,1.3375594796517616,-2.140783344479988,1.1009651665025713,-0.06526817143535467,-1.0488824253953883,0.09320917356213475,-0.5170964487982649,False,False,False,False,False,False,False,False,False,False,False,177581.57522201538,False,-1.2668845039564607,False,False,-2.701352907155591,-1.3705953066496785,-1.028901320702871,0.5661787246936415,2.7452227549189883,-0.08782164011854518,-0.35712125881654744,-0.1289341918390705,1.226995966631324,0.12146542555586468,-0.9545749659210818,-0.49226757401017945,1.0442396956335245,-0.7400685621872253,1.7328951875123186,-1.761866815359833,-3.276360005505742,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-1.35642020218261,-2.1827310639706305,0.8294576746107001,-2.303247972198906,1.1361903194236465,0.6713228379643614,-0.7037400311764377,-0.7226762274419871,-0.08590899761072819,False,False,False,False,False,False,False,False,False,False,False,179563.31384944916,True,-1.6047892478033072,False,False,-2.7474137984842932,-1.1871665273478882,-1.5484212771778438,0.276348841396137,1.2261110061416594,-0.12173209797837409,-0.8889735690385303,-0.6573575319580678,0.6779887292690974,1.6556815500114619,-0.11579178425022925,-0.3257979815100172,1.2835274300825399,-0.9563319498492306,2.1080782736351,-2.1550080550920057,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.563663101141789,2.2776913366800446,-0.7328579061677164,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1565887946077622,-1.903184652469629,0.3839506665169308,-2.111856898677076,1.1983247573536144,0.22601109833806257,-0.2008658954448651,-0.2291030075834831,-0.7288658954458023,False,False,False,False,False,False,False,False,False,False,False,180433.49483680725,False,-1.3327397215681374,False,False,-2.701352907155591,-0.5312353575900897,-0.9617297301141684,0.2533294109387864,-0.29020235722859217,1.7239945152442357,-0.9314708273896698,-0.07516437393319113,-0.3353788526814466,0.28688890201432643,0.3665429780176403,-0.5198495881130151,0.8534829162140016,-1.2025453314005399,1.767418610718647,-1.4794387838284608,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,-0.7328579061677164,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.030621817003056,-2.414607846690745,0.134097013098038,-2.294158232932982,0.7888813966779229,0.7393545759296248,-0.06781100144161746,-0.8257229221222105,-0.4680978747996811,False,False,False,False,False,False,False,False,False,False,False,180291.46295642853,True,-2.300230690765029,False,False,-2.609231124498187,-0.20374938529039122,-1.0431307251298292,-0.425771521806621,-0.7349398733210394,0.7868144209395591,-0.6995249181090316,-0.6573575319580678,-0.22301200387241776,1.7714699258861861,-0.07968898597511066,-0.6215429915565474,1.5645614059732,-0.5527863219174014,1.866855093437445,-1.7906643868382706,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.3918939827702963,-1.9792336002514053,0.23367031937197974,-2.202391577282364,1.1436883011757193,0.7419153140878977,0.09836866984898841,-0.5782051894745882,-0.658594769808809,False,False,False,False,False,False,False,False,False,False,False,179680.64910411835,False,-1.0213510485611514,False,False,-2.701352907155591,-0.21166705736058697,-0.3543982118868536,-0.0028310885331473126,-0.9835023418320397,0.39868962264593905,-0.5434967608983398,0.8790528793435252,-0.09762517571356001,0.5337617521308958,-0.7824797958886137,-0.7177460590563964,1.3570960035388284,-0.16705904478047445,1.9105176307235592,-1.695099960771058,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.5202639227077684,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.8177849808034094,-2.5487819618326832,0.6457763863388885,-2.540609925214242,1.0725924049889135,0.9927799999697472,-0.49643228070354134,-0.9176185093255015,0.11594122552002276,False,False,False,False,False,False,False,False,False,False,False,162172.5340385437,True,-2.2727318465955837,False,False,-2.609231124498187,-0.9089803927090868,-1.05985394270378,0.3969720437053326,-0.190036620745848,0.8548371846226683,-0.7434489955680348,-0.6573575319580678,-0.2926297312939527,1.33880118383888,-0.2835828533915291,-0.20441594012007216,1.2420596656911427,0.07932283181381251,1.9033909842408765,-2.2792612745346554,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
