payload,year_2023,year_2024,month_3,month_5,month_6,month_7,month_8,month_9,month_10,month_11,day_2,day_3,day_4,day_5,day_6,day_10,day_11,day_13,day_15,day_16,day_17,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_30,day_31,shift_B,crew_E2,crew_E3,crew_E4,efectivo,mantencion,mecanica,electrica,mant_excl,mec_excl,demora,r_noprg,waiting,queued,distance_down_level,distance_up,distance_up_level,expected_time,lift_down,lift_down_level,lift_up,lift_up_level,travel_time,CAT 797-F,CAT 798-AC,KOM-CHQ,KOM.960E5,Kom.930E-4,Kom.930E-4SE,Kom.930ER-MT,Kom.980E5,Komatsu AHS,truck_avail,payload_validation
179265.9478721619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9896799510918965,-1.0396687257022392,0.22943635149419894,1.8229901523806573,0.7800957672989638,-0.2628524179131546,0.5489907034463607,-0.2792034390799464,0.4896906242088862,-0.6432681599964796,0.6824429474564443,-2.336842798023843,1.4785296496127638,-1.7915861381321132,0.44101292805710796,-0.7642094232714809,-0.4476314272433661,1.2148238789760648,0.6044193653978852,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7455593380614657,1
176893.53397750854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.3705953066496785,-1.028901320702871,0.5661787246936415,2.7452227549189883,-0.08782164011854518,-0.35712125881654744,0.12146542555586468,-0.49226757401017945,1.0442396956335245,-0.7400685621872253,0.76945120469562,-2.15801695231079,1.1791978459849546,-1.761866815359833,1.0742352651020937,-0.6469388191165717,-0.9457459296777637,0.8389689637918067,-1.1713297822794253,-3.276360005505742,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7106722032935832,1
184370.8179059029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.1871665273478882,-1.5484212771778438,0.276348841396137,1.2261110061416594,-0.12173209797837409,-0.8889735690385303,1.6556815500114619,-0.3257979815100172,1.2835274300825399,-0.9563319498492306,0.42852272594242585,-2.2127930281485826,0.7811540331474436,-2.1550080550920057,-0.1580057108004828,-0.34837119564729585,-0.08212356484248848,0.09323456927677665,-1.9872150341597825,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7627240219759401,1
177581.57522201538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5312353575900897,-0.9617297301141684,0.2533294109387864,-0.29020235722859217,1.7239945152442357,-0.9314708273896698,0.28688890201432643,-0.5198495881130151,0.8534829162140016,-1.2025453314005399,1.3375594796517616,-2.140783344479988,1.1009651665025713,-1.4794387838284608,-0.06526817143535467,-1.0488824253953883,0.09320917356213475,-0.5170964487982649,-1.2668845039564607,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7675882547794813,1
179563.31384944916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.20374938529039122,-1.0431307251298292,-0.425771521806621,-0.7349398733210394,0.7868144209395591,-0.6995249181090316,1.7714699258861861,-0.6215429915565474,1.5645614059732,-0.5527863219174014,0.8294576746107001,-2.303247972198906,1.1361903194236465,-1.7906643868382706,0.6713228379643614,-0.7037400311764377,-0.7226762274419871,-0.08590899761072819,-1.6047892478033072,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7975973167044595,1
180433.49483680725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.21166705736058697,-0.3543982118868536,-0.0028310885331473126,-0.9835023418320397,0.39868962264593905,-0.5434967608983398,0.5337617521308958,-0.7177460590563964,1.3570960035388284,-0.16705904478047445,0.3839506665169308,-2.111856898677076,1.1983247573536144,-1.695099960771058,0.22601109833806257,-0.2008658954448651,-0.2291030075834831,-0.7288658954458023,-1.3327397215681374,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.5202639227077684,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7643507476812417,1
180291.46295642853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9089803927090868,-1.05985394270378,0.3969720437053326,-0.190036620745848,0.8548371846226683,-0.7434489955680348,1.33880118383888,-0.20441594012007216,1.2420596656911427,0.07932283181381251,0.134097013098038,-2.294158232932982,0.7888813966779229,-2.2792612745346554,0.7393545759296248,-0.06781100144161746,-0.8257229221222105,-0.4680978747996811,-2.300230690765029,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.768547335600907,1
179680.64910411835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.09269604096290905,-1.9329525949550137,0.8537690670159277,-0.9835023418320397,0.4659049944752428,-0.5770928631227297,0.31909262798829874,-0.6434798976342013,0.8593815664601527,0.11163175630480553,0.23367031937197974,-2.202391577282364,1.1436883011757193,-1.5888180289766813,0.7419153140878977,0.09836866984898841,-0.5782051894745882,-0.658594769808809,-1.0213510485611514,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.6070622795758094,-0.035748500270158134,-3.258973212345552,-0.10159203443858378,0.7659259259259259,1
162172.5340385437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.18348101188687846,-1.8209803846550427,-0.017037959920831496,2.279703111906333,-0.34912824651800917,-1.4685584661843525,1.4560802242603563,-0.572618722004973,1.318564906222768,-0.31613503405508236,0.6457763863388885,-2.540609925214242,1.0725924049889135,-2.2925722792438736,0.9927799999697472,-0.49643228070354134,-0.9176185093255015,0.11594122552002276,-2.2727318465955837,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.5202639227077684,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7959548167092925,1
154021.07407712936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5603968862757319,-1.2383082776047554,-0.7752161831379509,2.0586306647472115,0.6344480439571306,-1.2619660348972919,0.5661669192598346,-0.2543421552518736,0.824597251274695,0.11049441476470538,1.3688133177899033,-2.5576981347389327,1.210475764049561,-1.9769955521140614,-0.43665033606682274,-1.467388420317884,0.2341553678547891,0.9176056996236801,-0.5343515967661842,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7905323877068557,1
