year_2023,year_2024,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,shift_B,crew_E2,crew_E3,crew_E4,total,efectivo,mantencion,mecanica,electrica,mant_excl,mec_excl,elec_excl,som_excl,demora,r_prog,r_noprg,waiting,queued,payload,distance,distance_down,distance_down_level,distance_up,distance_up_level,expected_time,lift_down,lift_down_level,lift_up,lift_up_level,travel_time,CAT 797-F,CAT 798-AC,KOM-CHQ,KOM.960E5,Kom.930E-4,Kom.930E-4SE,Kom.930EN,Kom.930ER,Kom.930ER-MT,Kom.980E5,Komatsu AHS
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4222800.0,2892778.0,83084.0,607048.0,0.0,71477.0,98583.0,2191.0,126065.0,129973.0,133465.0,78136.0,169925,62487,179680.64910411835,11455298,1896103,2231848,1799951,5450608,1738329,-203395,-51956,226450,47087,2730911,168.0,0.0,0.0,24.0,95.0,396.0,96.0,239.0,0.0,131.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4222800.0,2876026.0,90717.0,481455.0,79295.0,43212.0,17360.0,0.0,149603.0,214637.0,183660.0,86835.0,188063,52332,162172.5340385437,11018287,1555590,2378487,1583619,5382110,1615406,-163327,-57307,169349,53568,2464788,168.0,0.0,0.0,24.0,96.0,394.0,96.0,239.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4230000.0,2806476.0,130437.0,372106.0,73923.0,77322.0,36183.0,66120.0,129957.0,148371.0,263198.0,125907.0,168551,62460,154021.07407712936,11527171,1724214,2635764,1572689,5514955,1670527,-391635,-66042,363117,60276,2834478,168.0,0.0,0.0,24.0,96.0,396.0,96.0,239.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4233600.0,2833547.0,99262.0,356784.0,39824.0,82231.0,45336.0,46932.0,135325.0,218446.0,210197.0,165716.0,136961,96497,145359.4348526001,12603363,2088689,2797996,2077226,5473975,1925632,-236435,-69984,254656,61294,2880792,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4230000.0,2736897.0,206107.0,425942.0,5773.0,116184.0,34899.0,66958.0,220648.0,129423.0,179761.0,107408.0,158596,81244,163180.94692134857,11821587,2001305,2517708,2010993,5119697,1736454,-286071,-64790,278869,55933,2710897,168.0,0.0,0.0,24.0,95.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4230000.0,2701787.0,156542.0,571133.0,26327.0,97711.0,39136.0,3595.0,265861.0,141960.0,152565.0,73383.0,139055,106358,175253.9079566002,11828741,1847230,2638918,1798320,5421315,1795854,-172919,-66567,177644,57795,2620090,168.0,0.0,0.0,24.0,96.0,396.0,96.0,239.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4233600.0,2657756.0,191590.0,546839.0,24503.0,91764.0,57745.0,20273.0,190832.0,125572.0,218027.0,108699.0,149492,65435,173399.77289056778,11591743,1854930,2562898,1944147,5089690,1717963,-180615,-65876,190474,59114,2497318,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4233600.0,2848765.0,191624.0,531457.0,24530.0,46330.0,41114.0,13793.0,142461.0,155019.0,185664.0,52843.0,160485,41987,192944.50997066498,12362034,2003653,2750712,2023651,5388264,1943747,-163022,-70394,170543,60136,2788169,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4233600.0,2654033.0,287707.0,601302.0,10280.0,43200.0,148171.0,29191.0,133177.0,133122.0,149404.0,44013.0,128317,37909,177501.6647582054,11894981,1879531,2752064,1989083,5168229,1839467,-163088,-70423,171448,63507,2601634,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4233600.0,2633282.0,141194.0,682089.0,11068.0,64316.0,114211.0,28646.0,129600.0,106024.0,207276.0,115894.0,159809,40109,166409.61985445023,10998351,1634312,2407374,1747529,5138362,1649286,-304850,-60954,279027,57158,2633747,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
